qseqid	dataA1_evalue	dataA1_bitscore	dataA2_evalue	dataA2_bitscore	dataB1_evalue	dataB1_bitscore	dataB2_evalue	dataB2_bitscore	hgt_dataA_index	hgt_dataB_index	type
Aplysia_NP_001191399.1	5e-55	190	0	1027	7e-29	125	0	766	-837	-641	Apca
Aplysia_NP_001191400.1	3e-7	58.5	3e-100	337	NA	0	4e-68	247	-278.5	-247	Apca
Aplysia_NP_001191401.1	3e-94	301	0	1177	1e-23	108	0	1560	-876	-1452	Apca
Aplysia_NP_001191402.1	4e-34	133	0	965	3e-31	133	0	702	-832	-569	Apca
Aplysia_NP_001191411.1	4e-33	142	0	1328	NA	0	0	883	-1186	-883	Apca
Aplysia_NP_001191412.1	8e-90	284	0	643	NA	0	0	685	-359	-685	Apca
Aplysia_NP_001191413.1	2e-33	140	0	696	9e-34	140	0	684	-556	-544	Apca
Aplysia_NP_001191414.1	3e-68	232	1e-159	472	8e-7	54.7	3e-138	415	-240	-360.3	Apca
Aplysia_NP_001191415.1	5e-94	298	0	1150	6e-25	112	0	1352	-852	-1240	Apca
Aplysia_NP_001191418.1	6e-62	218	0	555	NA	0	2e-149	447	-337	-447	Apca
Aplysia_NP_001191420.1	3e-118	352	0	674	1e-24	107	0	634	-322	-527	Apca
Aplysia_NP_001191422.1	5e-71	229	7e-158	452	2e-69	223	2e-148	427	-223	-204	Apca
Aplysia_NP_001191423.1	8e-14	73.2	2e-78	251	2e-7	55.8	0	720	-177.8	-664.2	Apca
Aplysia_NP_001191424.1	7e-91	266	6e-94	273	NA	0	4e-94	273	-7	-273	Apca
Aplysia_NP_001191425.1	2e-101	310	7e-167	477	NA	0	1e-135	397	-167	-397	Apca
Aplysia_NP_001191427.1	6e-48	160	5e-93	275	NA	0	2e-77	234	-115	-234	Apca
Aplysia_NP_001191451.1	4e-20	89.7	1e-97	292	NA	0	0	535	-202.3	-535	Apca
Aplysia_NP_001191458.1	2e-45	175	0	837	NA	0	0	805	-662	-805	Apca
Aplysia_NP_001191459.1	1e-111	375	0	1608	NA	0	0	1476	-1233	-1476	Apca
Aplysia_NP_001191463.1	2e-26	119	2e-140	429	9e-26	112	8e-107	346	-310	-234	Apca
Aplysia_NP_001191464.1	1e-82	275	0	609	2e-26	117	0	556	-334	-439	Apca
Aplysia_XP_005088839.1	9e-41	157	0	813	NA	0	0	671	-656	-671	Apca
Aplysia_XP_005088841.1	8e-29	109	3e-80	242	NA	0	2e-66	206	-133	-206	Apca
Aplysia_XP_005088842.1	7e-29	109	3e-80	242	NA	0	2e-66	206	-133	-206	Apca
Aplysia_XP_005088843.1	8e-8	57	2e-61	204	NA	0	2e-32	129	-147	-129	Apca
Aplysia_XP_005088844.2	4e-6	52.8	4e-80	263	NA	0	2e-24	109	-210.2	-109	Apca
Aplysia_XP_005088845.1	2e-36	124	8e-45	145	NA	0	1e-43	142	-21	-142	Apca
Aplysia_XP_005088846.1	7e-49	176	2e-130	387	NA	0	2e-106	330	-211	-330	Apca
Aplysia_XP_005088851.1	7e-35	142	6e-176	535	NA	0	3e-122	390	-393	-390	Apca
Aplysia_XP_005088852.1	8e-35	142	1e-175	534	NA	0	9e-123	392	-392	-392	Apca
Aplysia_XP_005088854.1	4e-64	215	9e-136	398	NA	0	3e-87	275	-183	-275	Apca
Aplysia_XP_005088855.2	8e-11	65.5	6e-87	266	2e-7	54.7	9e-37	135	-200.5	-80.3	Apca
Aplysia_XP_005088859.1	3e-53	196	0	1093	5e-6	52.4	0	1018	-897	-965.6	Apca
Aplysia_XP_005088861.1	4e-8	55.5	2e-55	179	NA	0	4e-24	97.4	-123.5	-97.4	Apca
Aplysia_XP_005088862.1	4e-8	55.5	2e-55	179	NA	0	4e-24	97.4	-123.5	-97.4	Apca
Aplysia_XP_005088864.2	4e-23	96.7	2e-39	139	3e-26	103	2e-41	144	-42.3	-41	Apca
Aplysia_XP_005088865.1	2e-28	121	8e-152	442	NA	0	2e-88	279	-321	-279	Apca
Aplysia_XP_005088866.1	2e-28	121	8e-152	442	NA	0	2e-88	279	-321	-279	Apca
Aplysia_XP_005088867.1	2e-28	121	8e-152	442	NA	0	2e-88	279	-321	-279	Apca
